Tool Shape,Rotational Speed,Plunging Speed,Si Particle Size (um),Hardness (HV),wear rate,Ultimate Compression Strength (MPa),Elongation (%),Temperature (°C),Strain
1,1,1,2.9,75.0,8.62,118.0,13.5,353,66.0
1,1,2,3.4,72.0,9.31,135.0,13.0,344,58.0
1,1,3,4.1,69.0,10.42,119.0,7.5,323,50.0
1,2,1,2.2,81.0,8.15,115.0,12.0,370,89.0
1,2,2,2.7,75.0,8.54,136.0,13.0,352,72.0
1,2,3,3.2,72.0,9.288,140.0,17.0,340,59.0
1,3,1,1.4,83.0,7.024,101.0,9.7,392,108.0
1,3,2,1.6,81.0,7.66,125.8,9.5,373,90.0
1,3,3,2.0,78.0,8.107,138.7,14.0,358,73.0
1,4,1,1.1,84.0,6.9,98.0,8.3,430,131.0
1,4,2,1.3,82.0,7.44,114.7,9.1,412,112.0
1,4,3,1.5,81.0,7.91,120.6,11.0,395,97.0
2,1,1,2.3,79.0,8.19,126.0,15.0,348,70.0
2,1,2,2.7,75.6,8.85,144.0,12.0,339,61.5
2,1,3,2.8,72.5,10.0,137.0,8.0,318,53.0
2,2,1,1.8,83.0,7.7,123.0,13.2,365,94.3
2,2,2,2.2,78.8,8.1,145.5,13.5,347,76.0
2,2,3,2.6,75.5,8.83,154.0,18.7,335,63.0
2,3,1,1.1,87.2,6.67,108.0,10.7,386,113.0
2,3,2,1.45,85.0,7.3,133.0,10.45,368,95.0
2,3,3,1.6,80.0,7.7,148.0,15.4,353,77.4
2,4,1,0.9,88.2,6.6,105.0,9.2,424,140.0
2,4,2,0.9,86.1,6.8,123.0,10.0,406,120.0
2,4,3,1.2,85.05,7.5,130.0,12.1,389,103.0
3,1,1,2.2,81.5,7.9,131.0,13.0,338,75.6
3,1,2,2.4,78.0,8.5,150.0,15.0,330,66.5
3,1,3,3.0,74.5,8.9,152.0,11.0,310,57.0
3,2,1,1.6,84.0,7.4,128.0,13.8,354,102.0
3,2,2,2.0,81.0,7.78,148.0,15.0,337,82.0
3,2,3,2.3,78.0,8.52,160.0,18.4,325,68.0
3,3,1,1.0,90.0,6.43,112.0,11.0,374,122.0
3,3,2,1.2,89.0,7.0,143.0,11.0,358,102.6
3,3,3,1.4,83.5,7.39,150.0,16.0,343,84.0
3,4,1,0.8,91.0,6.29,107.0,9.6,411,148.0
3,4,2,0.81,88.5,7.0,128.0,10.5,394,125.0
3,4,3,1.0,87.0,7.2,135.0,12.0,377,111.0
