Tool Shape,Rotational Speed,Plunging Speed,Composite Volume Fraction (%),Si Particle Size (um),Hardness (HV),wear rate,Ultimate Compression Strength (MPa),Elongation (%)
1,1,1,1,2.9,75.0,8.62,118.0,13.5
1,1,2,1,3.4,72.0,9.31,135.0,13.0
1,1,3,1,4.1,69.0,10.42,119.0,7.5
1,2,1,1,2.2,81.0,8.15,115.0,12.0
1,2,2,1,2.7,75.0,8.54,136.0,13.0
1,2,3,1,3.2,72.0,9.288,140.0,17.0
1,3,1,1,1.4,83.0,7.024,101.0,9.7
1,3,2,1,1.6,81.0,7.66,125.8,9.5
1,3,3,1,2.0,78.0,8.107,138.7,14.0
1,4,1,1,1.1,84.0,6.9,98.0,8.3
1,4,2,1,1.3,82.0,7.44,114.7,9.1
1,4,3,1,1.5,81.0,7.91,120.6,11.0
2,1,1,1,2.3,79.0,8.19,126.0,15.0
2,1,2,1,2.7,75.6,8.85,144.0,12.0
2,1,3,1,2.8,72.5,10.0,137.0,8.0
2,2,1,1,1.8,83.0,7.7,123.0,13.2
2,2,2,1,2.2,78.8,8.1,145.5,13.5
2,2,3,1,2.6,75.5,8.83,154.0,18.7
2,3,1,1,1.1,87.2,6.67,108.0,10.7
2,3,2,1,1.45,85.0,7.3,133.0,10.45
2,3,3,1,1.6,80.0,7.7,148.0,15.4
2,4,1,1,0.9,88.2,6.6,105.0,9.2
2,4,2,1,0.9,86.1,6.8,123.0,10.0
2,4,3,1,1.2,85.05,7.5,130.0,12.1
3,1,1,1,2.2,81.5,7.9,131.0,13.0
3,1,2,1,2.4,78.0,8.5,150.0,15.0
3,1,3,1,3.0,74.5,8.9,152.0,11.0
3,2,1,1,1.6,84.0,7.4,128.0,13.8
3,2,2,1,2.0,81.0,7.78,148.0,15.0
3,2,3,1,2.3,78.0,8.52,160.0,18.4
3,3,1,1,1.0,90.0,6.43,112.0,11.0
3,3,2,1,1.2,89.0,7.0,143.0,11.0
3,3,3,1,1.4,83.5,7.39,150.0,16.0
3,4,1,1,0.8,91.0,6.29,107.0,9.6
3,4,2,1,0.81,88.5,7.0,128.0,10.5
3,4,3,1,1.0,87.0,7.2,135.0,12.0
1,1,1,2,0.73,80.0,6.034,135.7,13.0
1,1,2,2,0.85,77.0,6.517,155.25,15.6
1,1,3,2,1.0,75.0,7.294,136.85,12.0
1,2,1,2,0.55,85.0,5.705,132.5,14.4
1,2,2,2,0.68,80.0,5.978,156.4,15.6
1,2,3,2,0.8,77.0,6.502,161.0,20.4
1,3,1,2,0.34,89.0,4.832,119.2,8.4
1,3,2,2,0.4,86.0,5.731,143.8,14.5
1,3,3,2,0.36,83.0,5.927,152.8,16.5
1,4,1,2,0.28,90.0,4.83,112.7,9.96
1,4,2,2,0.33,85.0,5.208,131.905,10.92
1,4,3,2,0.38,84.0,5.537,135.0,13.2
2,1,1,2,0.58,84.0,5.733,145.0,18.0
2,1,2,2,0.68,81.0,6.195,161.0,14.4
2,1,3,2,0.83,78.0,7.0,165.0,9.6
2,2,1,2,0.45,89.0,5.39,141.45,15.84
2,2,2,2,0.55,84.0,5.67,167.325,16.2
2,2,3,2,0.65,81.0,6.181,177.1,22.44
2,3,1,2,0.28,93.0,4.669,124.2,12.84
2,3,2,2,0.33,91.0,5.11,152.95,12.54
2,3,3,2,0.4,87.0,5.39,170.2,18.48
2,4,1,2,0.22,95.0,4.62,128.0,11.0
2,4,2,2,0.225,92.0,4.76,142.0,12.0
2,4,3,2,0.3,90.0,5.25,147.0,14.5
3,1,1,2,0.55,85.0,5.53,150.0,15.6
3,1,2,2,0.6,83.0,5.95,148.0,13.0
3,1,3,2,0.75,80.0,6.23,174.8,13.2
3,2,1,2,0.4,88.0,5.18,147.2,16.6
3,2,2,2,0.5,87.0,5.446,170.2,18.0
3,2,3,2,0.56,82.0,5.964,184.0,22.08
3,3,1,2,0.25,96.0,4.501,130.0,13.2
3,3,2,2,0.3,94.0,4.9,160.0,13.2
3,3,3,2,0.35,89.0,5.173,176.0,19.2
3,4,1,2,0.2,91.0,4.403,140.0,11.52
3,4,2,2,0.21,95.0,4.9,145.0,12.6
3,4,3,2,0.25,93.0,5.04,155.0,14.4
