Tool Shape,Rotational Speed,Plunging Speed,Si Particle Size (um),Hardness (HV),wear rate,Ultimate Compression Strength (MPa),Elongation (%)
1,1,1,0.73,80,6.034,135.7,13.0
1,1,2,0.85,77,6.517,155.25,15.6
1,1,3,1.0,75,7.294,136.85,12.0
1,2,1,0.55,85,5.705,132.5,14.4
1,2,2,0.68,80,5.978,156.4,15.6
1,2,3,0.8,77,6.502,161.0,20.4
1,3,1,0.34,89,4.832,119.2,8.4
1,3,2,0.4,86,5.731,143.8,14.5
1,3,3,0.36,83,5.927,152.8,16.5
1,4,1,0.28,90,4.83,112.7,9.96
1,4,2,0.33,85,5.208,131.905,10.92
1,4,3,0.38,84,5.537,135.0,13.2
2,1,1,0.58,84,5.733,145.0,18.0
2,1,2,0.68,81,6.195,161.0,14.4
2,1,3,0.83,78,7.0,165.0,9.6
2,2,1,0.45,89,5.39,141.45,15.84
2,2,2,0.55,84,5.67,167.325,16.2
2,2,3,0.65,81,6.181,177.1,22.44
2,3,1,0.28,93,4.669,124.2,12.84
2,3,2,0.33,91,5.11,152.95,12.54
2,3,3,0.4,87,5.39,170.2,18.48
2,4,1,0.22,95,4.62,128.0,11.0
2,4,2,0.225,92,4.76,142.0,12.0
2,4,3,0.3,90,5.25,147.0,14.5
3,1,1,0.55,85,5.53,150.0,15.6
3,1,2,0.6,83,5.95,148.0,13.0
3,1,3,0.75,80,6.23,174.8,13.2
3,2,1,0.4,88,5.18,147.2,16.6
3,2,2,0.5,87,5.446,170.2,18.0
3,2,3,0.56,82,5.964,184.0,22.08
3,3,1,0.25,96,4.501,130.0,13.2
3,3,2,0.3,94,4.9,160.0,13.2
3,3,3,0.35,89,5.173,176.0,19.2
3,4,1,0.2,91,4.403,140.0,11.52
3,4,2,0.21,95,4.9,145.0,12.6
3,4,3,0.25,93,5.04,155.0,14.4
