,mean,median,mode,variance,std,skewness,kurtosis,min,max
Tool Shape,2.0,2.0,1.0,0.6857,0.8281,0.0,-1.5441,1.0,3.0
Rotational Speed,561.25,565.0,315.0,32430.5357,180.0848,-0.0573,-1.2545,315.0,800.0
Plunging Speed,32.1667,31.5,25.0,38.8,6.229,0.1686,-1.5441,25.0,40.0
Si Particle Size (um),1.9072,1.7,1.6,0.6917,0.8317,0.629,-0.2167,0.8,4.1
Hardness (HV),80.9708,81.0,81.0,31.6618,5.6269,-0.1688,-0.7005,69.0,91.0
wear rate,7.8866,7.74,7.0,0.965,0.9823,0.6071,0.1189,6.29,10.42
Ultimate Compression Strength (MPa),130.0639,130.5,123.0,260.3681,16.1359,-0.1769,-0.7852,98.0,160.0
Elongation (%),12.2819,12.0,11.0,7.902,2.8111,0.4736,-0.2403,7.5,18.7
Temperature (°C),363.0833,356.0,353.0,946.8786,30.7714,0.464,-0.5452,310.0,430.0
Strain,89.3028,86.5,50.0,682.6106,26.1268,0.4502,-0.6964,50.0,148.0
