,iqr_outlier,lof_outlier,iforest_outlier,n_methods_flagging
0,False,False,False,0
1,False,False,False,0
2,True,False,True,2
3,False,False,False,0
4,False,False,False,0
5,False,False,True,1
6,False,False,False,0
7,False,False,False,0
8,False,False,False,0
9,False,False,True,1
10,False,False,False,0
11,False,False,False,0
12,False,False,False,0
13,False,False,False,0
14,False,False,True,1
15,False,False,False,0
16,False,False,False,0
17,False,False,False,0
18,False,False,False,0
19,False,False,False,0
20,False,False,False,0
21,False,False,False,0
22,False,False,False,0
23,False,False,False,0
24,False,False,False,0
25,False,False,False,0
26,False,False,True,1
27,False,False,False,0
28,False,False,False,0
29,False,False,False,0
30,False,False,False,0
31,False,False,False,0
32,False,False,False,0
33,False,False,False,0
34,False,False,False,0
35,False,False,False,0
36,False,False,False,0
37,False,False,False,0
38,False,False,False,0
39,False,False,False,0
40,False,False,False,0
41,False,False,False,0
42,False,False,True,1
43,False,False,False,0
44,False,False,False,0
45,False,False,True,1
46,False,False,False,0
47,False,False,False,0
48,False,False,False,0
49,False,False,False,0
50,False,False,False,0
51,False,False,False,0
52,False,False,False,0
53,True,False,False,1
54,False,False,False,0
55,False,False,False,0
56,False,False,False,0
57,False,False,False,0
58,False,False,False,0
59,False,False,False,0
60,False,False,False,0
61,False,False,False,0
62,False,False,False,0
63,False,False,False,0
64,False,False,False,0
65,False,False,True,1
66,False,False,False,0
67,False,False,False,0
68,False,False,False,0
69,False,False,False,0
70,False,False,False,0
71,False,False,False,0
