var_a,var_b,tau,p_value,ci_lower,ci_upper
Tool Shape,Rotational Speed,0.0,1.0,-0.3073,0.281
Tool Shape,Plunging Speed,0.0,1.0,-0.3054,0.2834
Tool Shape,Si Particle Size (um),-0.2243,0.0921,-0.4556,0.046
Tool Shape,Hardness (HV),0.337,0.0119,0.1017,0.5506
Tool Shape,wear rate,-0.2573,0.0519,-0.4788,-0.0215
Tool Shape,Ultimate Compression Strength (MPa),0.3094,0.0195,0.0727,0.516
Tool Shape,Elongation (%),0.1359,0.3091,-0.1285,0.3728
Rotational Speed,Plunging Speed,0.0,1.0,-0.2946,0.2923
Rotational Speed,Si Particle Size (um),-0.7749,0.0,-0.8496,-0.6684
Rotational Speed,Hardness (HV),0.5987,0.0,0.4273,0.7244
Rotational Speed,wear rate,-0.6263,0.0,-0.7399,-0.4849
Rotational Speed,Ultimate Compression Strength (MPa),-0.2808,0.0287,-0.4699,-0.08
Rotational Speed,Elongation (%),-0.2288,0.0773,-0.4683,0.026
Plunging Speed,Si Particle Size (um),0.2263,0.0894,-0.0244,0.4663
Plunging Speed,Hardness (HV),-0.3156,0.0186,-0.5451,-0.0777
Plunging Speed,wear rate,0.3821,0.0039,0.1408,0.5988
Plunging Speed,Ultimate Compression Strength (MPa),0.5322,0.0001,0.3342,0.7039
Plunging Speed,Elongation (%),0.2524,0.0589,-0.038,0.5133
Si Particle Size (um),Hardness (HV),-0.8169,0.0,-0.9075,-0.6899
Si Particle Size (um),wear rate,0.8324,0.0,0.7321,0.9134
Si Particle Size (um),Ultimate Compression Strength (MPa),0.3018,0.0103,0.1082,0.4681
Si Particle Size (um),Elongation (%),0.2449,0.0391,-0.0083,0.4673
Hardness (HV),wear rate,-0.8498,0.0,-0.92,-0.7555
Hardness (HV),Ultimate Compression Strength (MPa),-0.2684,0.0234,-0.4641,-0.068
Hardness (HV),Elongation (%),-0.1863,0.119,-0.4044,0.0475
wear rate,Ultimate Compression Strength (MPa),0.3363,0.004,0.1318,0.5145
wear rate,Elongation (%),0.248,0.0356,-0.01,0.4906
Ultimate Compression Strength (MPa),Elongation (%),0.5012,0.0,0.2618,0.6903
