dataset,variable,mean,median,mode,variance,std,skewness,kurtosis,min,max
Dataset_0136,Tool Shape,2.0,2.0,1.0,0.6857,0.8281,0.0,-1.5441,1.0,3.0
Dataset_0136,Rotational Speed,561.25,565.0,315.0,32430.5357,180.0848,-0.0573,-1.2545,315.0,800.0
Dataset_0136,Plunging Speed,32.1667,31.5,25.0,38.8,6.229,0.1686,-1.5441,25.0,40.0
Dataset_0136,Si Particle Size (um),1.9072,1.7,1.6,0.6917,0.8317,0.629,-0.2167,0.8,4.1
Dataset_0136,Hardness (HV),80.9708,81.0,81.0,31.6618,5.6269,-0.1688,-0.7005,69.0,91.0
Dataset_0136,wear rate,7.8866,7.74,7.0,0.965,0.9823,0.6071,0.1189,6.29,10.42
Dataset_0136,Ultimate Compression Strength (MPa),130.0639,130.5,123.0,260.3681,16.1359,-0.1769,-0.7852,98.0,160.0
Dataset_0136,Elongation (%),12.2819,12.0,11.0,7.902,2.8111,0.4736,-0.2403,7.5,18.7
Dataset_0136,Temperature (°C),363.0833,356.0,353.0,946.8786,30.7714,0.464,-0.5452,310.0,430.0
Dataset_0136,Strain,89.3028,86.5,50.0,682.6106,26.1268,0.4502,-0.6964,50.0,148.0
Dataset_0172,Tool Shape,2.0,2.0,1.0,0.6761,0.8222,0.0,-1.5214,1.0,3.0
Dataset_0172,Rotational Speed,561.25,565.0,315.0,31973.7676,178.8121,-0.056,-1.2521,315.0,800.0
Dataset_0172,Plunging Speed,32.1667,31.5,25.0,38.2535,6.1849,0.165,-1.5214,25.0,40.0
Dataset_0172,Composite Volume Fraction (%),0.5,0.5,0.0,0.2535,0.5035,0.0,-2.058,0.0,1.0
Dataset_0172,Si Particle Size (um),1.1913,0.84,0.4,0.883,0.9397,1.0609,0.313,0.2,4.1
Dataset_0172,Hardness (HV),83.5271,83.75,81.0,38.1322,6.1751,-0.069,-0.5278,69.0,96.0
Dataset_0172,wear rate,6.7111,6.5585,7.0,2.1139,1.4539,0.3987,-0.611,4.403,10.42
Dataset_0172,Ultimate Compression Strength (MPa),139.6782,140.0,128.0,368.9714,19.2086,0.0356,-0.3441,98.0,184.0
Dataset_0172,Elongation (%),13.4315,13.1,11.0,10.644,3.2625,0.5958,0.2325,7.5,22.44
Dataset_3772,Tool Shape,2.0,2.0,1.0,0.6857,0.8281,0.0,-1.5441,1.0,3.0
Dataset_3772,Rotational Speed,561.25,565.0,315.0,32430.5357,180.0848,-0.0573,-1.2545,315.0,800.0
Dataset_3772,Plunging Speed,32.1667,31.5,25.0,38.8,6.229,0.1686,-1.5441,25.0,40.0
Dataset_3772,Si Particle Size (um),0.4754,0.4,0.4,0.0452,0.2126,0.6465,-0.4891,0.2,1.0
Dataset_3772,Hardness (HV),86.0833,85.5,80.0,32.25,5.6789,-0.0471,-0.8995,75.0,96.0
Dataset_3772,wear rate,5.5356,5.488,4.9,0.4804,0.6931,0.522,-0.0222,4.403,7.294
Dataset_3772,Ultimate Compression Strength (MPa),149.2925,147.6,145.0,297.965,17.2617,0.0236,-0.5148,112.7,184.0
Dataset_3772,Elongation (%),14.5811,14.4,13.2,10.9716,3.3123,0.591,0.1754,8.4,22.44
