dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Si Particle Size (um),xgboost,42,0,0.9818025610104901,0.028491007378919457,0.035613759223649316,0.019412795049803606,0.942569111028729,0.048313628446082335,0.09115778952091007,0.039808931350707996
Dataset_3772,single_output,Si Particle Size (um),xgboost,42,1,0.9923118857138843,0.01867280935108218,0.023341011688852723,0.014551828298075446,0.9418671666195796,0.046767704629684916,0.08993789351862483,0.03218469066279274
Dataset_3772,single_output,Si Particle Size (um),xgboost,42,2,0.9776558588524333,0.027592343521502027,0.043797370669050845,0.022473444322059898,0.7702913482273441,0.11530383433694241,0.1720952751297648,0.08801402585847039
Dataset_3772,single_output,Si Particle Size (um),xgboost,42,3,0.9853179159753168,0.02596917833496083,0.032872377639190924,0.019527235031127927,0.841744515806971,0.04311819765356834,0.12319485043876668,0.03952977291175296
Dataset_3772,single_output,Si Particle Size (um),xgboost,42,4,0.9838901257421024,0.027611301958991755,0.03451412744873969,0.01946245830634544,0.9529348115925884,0.03754786973070853,0.0682688540558337,0.03198191438402449
Dataset_3772,single_output,Si Particle Size (um),xgboost,123,0,0.9887641276195893,0.022961365862099486,0.028701707327624358,0.015512670917170386,0.9215036403920129,0.049970419144401826,0.09994083828880365,0.037698142528533936
Dataset_3772,single_output,Si Particle Size (um),xgboost,123,1,0.9857154620771413,0.026314383851355677,0.032892979814194596,0.019098587447199326,0.9187312678584818,0.04020058193270932,0.12181994525063432,0.034759498834609985
Dataset_3772,single_output,Si Particle Size (um),xgboost,123,2,0.9819868579336924,0.027994071945978177,0.03499258993247272,0.020731425922492448,0.9851063394229933,0.026023174823007134,0.041972862617753445,0.019408836620194565
Dataset_3772,single_output,Si Particle Size (um),xgboost,123,3,0.9793938639935057,0.028253125057358646,0.035763449439694485,0.02066672321023613,0.9697520303327866,0.04431133579547528,0.06817128583919276,0.039205570391246246
Dataset_3772,single_output,Si Particle Size (um),xgboost,123,4,0.97954151381976,0.029148755236308714,0.04484423882509034,0.023219143522196794,0.9100023543178705,0.06578171280324428,0.0981816609003646,0.046258995362690514
Dataset_3772,single_output,Si Particle Size (um),xgboost,7,0,0.9734889048313955,0.030954960032617374,0.04913485719463076,0.02515372972403254,0.9078097569641634,0.07628570699441137,0.10595237082557135,0.049946206212043744
Dataset_3772,single_output,Si Particle Size (um),xgboost,7,1,0.984852954531468,0.02521610033445599,0.031919114347412646,0.018963269920184697,0.9562469913279196,0.047681280935406654,0.07946880155901108,0.0414213868549892
Dataset_3772,single_output,Si Particle Size (um),xgboost,7,2,0.983826963750526,0.027028298726002337,0.03378537340750292,0.019557195429144233,0.9764898290438105,0.02855302353222471,0.055986320651421,0.01872478663921356
Dataset_3772,single_output,Si Particle Size (um),xgboost,7,3,0.989834339962248,0.021379796546907588,0.026724745683634483,0.01598054945468903,0.9203878381806596,0.05416296637133971,0.08735962317958018,0.043142246944563714
Dataset_3772,single_output,Si Particle Size (um),xgboost,7,4,0.9864968617285126,0.02608203157708923,0.03260253947136153,0.01798514721722438,0.9260140843157129,0.0357617029751875,0.09410974467154604,0.031532220329557145
Dataset_3772,single_output,Si Particle Size (um),xgboost,2024,0,0.9839903562765189,0.026158268895447444,0.0326978361193093,0.019567090123891826,0.940231982561469,0.043711388225566875,0.08094701523253124,0.03659852139651775
Dataset_3772,single_output,Si Particle Size (um),xgboost,2024,1,0.9832357071319904,0.02884246292724099,0.03605307865905124,0.01979858453931479,0.9953378027966087,0.009716209961944536,0.02112219556944464,0.006457912496158041
Dataset_3772,single_output,Si Particle Size (um),xgboost,2024,2,0.9839125901432546,0.027599807564820736,0.034499759456025916,0.019960128356670503,0.9243797681980541,0.0406513659718592,0.09033636882635379,0.03760204928261894
Dataset_3772,single_output,Si Particle Size (um),xgboost,2024,3,0.9760713549079345,0.02731928367894469,0.044063360772491435,0.02336072792266977,0.8448562745303404,0.1148493920898149,0.1435617401122686,0.08404270572321756
Dataset_3772,single_output,Si Particle Size (um),xgboost,2024,4,0.9914906534950165,0.019953579665292022,0.024941974581615026,0.015674075217082577,0.9145227949997958,0.051057617543621404,0.10637003654921126,0.03516897082328795
Dataset_3772,single_output,Si Particle Size (um),xgboost,99,0,0.9814326695145577,0.02990170052274675,0.037850253826261705,0.02082918680139951,0.9029011185665158,0.05072855076523723,0.10568448076091089,0.04601087495684622
Dataset_3772,single_output,Si Particle Size (um),xgboost,99,1,0.9830793081948773,0.02680139087261861,0.03350173859077326,0.019670396611608312,0.9863166269408741,0.02285174383582289,0.036857651348101435,0.019237403018133974
Dataset_3772,single_output,Si Particle Size (um),xgboost,99,2,0.9879279038451504,0.021051793032031942,0.03238737389543376,0.015431058304063197,0.8940768365948828,0.08020190911110953,0.1069358788148127,0.06254841361727034
Dataset_3772,single_output,Si Particle Size (um),xgboost,99,3,0.9863295052543958,0.026441765622939102,0.033052207028673876,0.018642215584886483,0.9641018941007562,0.022227801409014158,0.06350800402575472,0.019101318972451327
Dataset_3772,single_output,Si Particle Size (um),xgboost,99,4,0.9820117370321438,0.026826617550141145,0.033533271937676426,0.017566976238941323,0.9407898422605537,0.0591744558612657,0.0986240931021095,0.05130229830741884
Dataset_3772,single_output,Si Particle Size (um),lightgbm,42,0,0.9790652186641481,0.030558841346178933,0.038198551682723667,0.024223581685028202,0.9790207159003989,0.02920062975559198,0.05509552784073958,0.025843672146495366
