model,test_r2_mean,gap_r2,stability_test_r2_std,composite_score,rank
xgboost,0.871310564127222,0.10873400491652267,0.11552207222180162,0.875,1
lightgbm,0.8642625892613071,0.11368762865603904,0.13010963732913805,0.8353358943538968,2
gradient_boosting,0.816599111958418,0.12328840429112148,0.15450338446941306,0.7413283209330787,3
gpr,0.810246325700255,0.1632303573490127,0.13350098177022107,0.7206454241214899,4
elasticnet,0.6440948180904114,0.12003601517913125,0.20293410211864862,0.5933933432692725,5
ridge,0.6588924994719786,0.12321454095069463,0.20921953743009758,0.5867699935756907,6
linear_regression,0.6545411666022397,0.12827021333138786,0.2206979970146264,0.5541522437989737,7
ann,0.6641910560933587,0.1546401795236458,0.18824599438660822,0.46570285366223596,8
random_forest,0.712026353988503,0.19670142865282148,0.1912101212478487,0.462580850437187,9
svr_rbf,0.4429599491117147,0.173535972559717,0.18569515137522102,0.3035335244023592,10
extra_trees,0.6842885537131564,0.23772745100316736,0.23163068888572771,0.29401710618020593,11
