,,train_r2,train_r2,train_r2,train_r2,train_r2,train_r2,train_r2,train_r2,test_r2,test_r2,test_r2,test_r2,test_r2,test_r2,test_r2,test_r2,train_rmse,train_rmse,train_rmse,train_rmse,train_rmse,train_rmse,train_rmse,train_rmse,test_rmse,test_rmse,test_rmse,test_rmse,test_rmse,test_rmse,test_rmse,test_rmse,train_nrmse,train_nrmse,train_nrmse,train_nrmse,train_nrmse,train_nrmse,train_nrmse,train_nrmse,test_nrmse,test_nrmse,test_nrmse,test_nrmse,test_nrmse,test_nrmse,test_nrmse,test_nrmse,train_mae,train_mae,train_mae,train_mae,train_mae,train_mae,train_mae,train_mae,test_mae,test_mae,test_mae,test_mae,test_mae,test_mae,test_mae,test_mae,gap_r2,gap_r2,gap_r2,gap_r2,gap_r2,gap_r2,gap_r2,gap_r2
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gradient_boosting,Dataset_0136,175.0,0.950305371782035,0.10791908335225349,0.3189363805823804,0.9680101364143499,0.9850257877989328,0.9918410080978545,0.999353490420545,175.0,0.8406101680996172,0.2900734101029835,-1.4304364692225295,0.8709151036918299,0.9366246108007988,0.9720454747354501,0.9973268355982282,175.0,1.331376660139975,1.2128838728009779,0.038673664749147,0.16113589403507445,0.9495037461663458,2.1720757696777646,5.884559641634259,175.0,2.3255607103255636,2.113748903069887,0.0619560753179415,0.32588175824871735,1.6518058801472664,3.7051852589098475,9.894971861460151,175.0,0.042930958280704465,0.03791348325998098,0.007270435682858,0.02340262351658875,0.0312379092366908,0.04423379427669295,0.2108281176262228,175.0,0.10557003765426974,0.07875870681695506,0.0158630559108415,0.0547006187675243,0.0858256367860767,0.11726231282418481,0.4865808113575849,175.0,0.9155142263064124,0.8131157499230411,0.0274531498636993,0.10321859902420125,0.6675676232511752,1.4834620931994993,3.8366575542531214,175.0,1.861207248105568,1.662475032726578,0.0489319590181498,0.24448008380181435,1.3247909684294343,2.978285679386773,6.9625438362977565,175.0,0.11201291002818903,0.21819759993472998,0.00013113193013580826,0.01647559942003257,0.04481040084143739,0.09752187988990602,1.9905281883560129
gradient_boosting,Dataset_0172,125.0,0.9546352831567241,0.06368140421738241,0.5968874834369526,0.9439256995345904,0.9810680477327872,0.9906854320476672,0.9960680027145338,125.0,0.8777807183691493,0.17904763569197935,-0.1926915297702991,0.860565197136011,0.9401242611581904,0.97719964443646,0.9975894689756934,125.0,1.273869073769948,1.5951994604929223,0.0682018313328384,0.1092254517489801,0.8281189055744059,1.1908283095709775,7.406915859376704,125.0,1.9923859704508737,2.476515956608066,0.0707284883458491,0.1770346307592315,1.2312543743295004,1.9319759470806497,10.869416202220789,125.0,0.041393051651617434,0.025137213807320282,0.0156412060994655,0.023142830867103,0.031908334427899,0.0538657375879539,0.1598035370028884,125.0,0.08331027817477023,0.05254532729111599,0.0147075251291015,0.0457915134401933,0.0713849317577546,0.1023263943158985,0.3176058168635123,125.0,0.9458043113394655,1.20114461318316,0.0460743221552649,0.0778453406517854,0.610274896293503,0.9240626847587344,5.969126895011349,125.0,1.5181853709844249,1.8877063059970154,0.0577665346709831,0.1267934402993346,0.9354196820557328,1.6105556811834236,8.178270187311906,125.0,0.07993127807170669,0.1302757429894204,0.00044703676643320645,0.0124845337001942,0.03740787264071044,0.08689310047102605,0.9343422065062326
gradient_boosting,Dataset_3772,125.0,0.9105547515968613,0.11754723000872147,0.4044038340847667,0.9039318129412768,0.956209727513156,0.9797369716705422,0.995301777760446,125.0,0.7218020269500072,0.3657635378495598,-1.95002192588936,0.6361095211694008,0.8714967679904846,0.9234381788741736,0.9922511813613832,125.0,1.490931516815808,1.7265061551724161,0.0154197723809759,0.1011427692179588,1.0167886206559034,1.9374936905972424,5.784377922234118,125.0,2.4713142433101614,3.1001621423828603,0.0151832441594596,0.159220512610635,1.5800012418684262,2.8303050530716822,12.382466427076253,125.0,0.06388092600430789,0.0367510732104783,0.0192747154762198,0.0368917340603207,0.0525381558176358,0.0773575808567647,0.1850935341370406,125.0,0.15228726920697483,0.08536368595403941,0.0330070525205645,0.095803790016533,0.1233401400724208,0.1997580310729539,0.5826261264661433,125.0,1.129948372251367,1.3329890739067245,0.0111351786743764,0.066421061035741,0.8121273123129247,1.479189219072717,4.872849477142602,125.0,1.9906310601896458,2.4968361185546857,0.0122613320782944,0.1257356199681247,1.3043144423723716,2.2494608436144925,9.480507503359382,125.0,0.19644066864983478,0.31791814960827414,0.0007739877860566402,0.04298298091053743,0.08359234437322893,0.21286742820441207,2.491343328075167
lightgbm,Dataset_0136,175.0,0.9869399748631735,0.014015703672209069,0.9312381121864692,0.9842542374219837,0.989522413468702,0.9974859218348169,0.9997006107847612,175.0,0.9168485030637362,0.12840266967404587,0.1550047349689304,0.896611842796942,0.9568682602601964,0.9856410032183314,0.9985595628671596,175.0,0.7539539959887012,0.6686860239561107,0.0620850125539549,0.11949429088993906,0.5603746779571055,1.0326147998161983,2.477397801907891,175.0,1.7350929805203779,1.640461570939947,0.0531243039286818,0.31814122767959574,1.2391460582010956,2.5502933418343714,7.011136351002944,175.0,0.0255687610428603,0.013845315536714016,0.0046671994604418,0.01303702599844685,0.0262965837576927,0.0318036006093084,0.0634805386841386,175.0,0.0797830600699576,0.05325276487718327,0.0125558465299815,0.0425818950191364,0.0673666514950342,0.10397987959338925,0.3239044404610836,175.0,0.5735775803463629,0.5035905861888976,0.0462530546403783,0.08118153677118084,0.4018244460961486,0.7920161550363936,1.941166626155548,175.0,1.3877383487596018,1.3034897742566747,0.0481208770170381,0.2335097721996109,1.00138885100894,2.167703951814064,5.451690776685599,175.0,0.07105273727918467,0.12577300185010037,0.000543836456718183,0.00849156498594228,0.028248606669208476,0.09254799790393359,0.8380297326418887
lightgbm,Dataset_0172,125.0,0.9848650859335989,0.016257519289282187,0.9381161883818878,0.9845868503030404,0.9910016050999878,0.9958425921698753,0.9981531891127003,125.0,0.916135386306914,0.0880560700945036,0.6017925950620194,0.8816802571114526,0.9509620776467832,0.9774594298504492,0.995458401391786,125.0,0.7023671576819929,0.7603474398409673,0.0419251354719978,0.0775855487318222,0.5993754456984791,0.7331630027420316,2.529344866122793,125.0,1.711740601754254,2.0975992406548016,0.078128007729708,0.163127187233484,1.0925587092728295,1.840623240102468,9.314539547309971,125.0,0.025178864120999157,0.012158963067077387,0.0105590800243105,0.0155522351792171,0.0225493779788658,0.0293528722748085,0.0543119696132403,125.0,0.07255589039516629,0.03717180665808475,0.0194237491368004,0.0435646172635949,0.0633548007034053,0.0880620728622855,0.1767243532575622,125.0,0.5201813971995137,0.5608013690215826,0.0302122970294951,0.0579297044712343,0.4258203634060604,0.549184177580387,1.8674561388179949,125.0,1.2777635949257296,1.5599658397796434,0.0631328167161912,0.1263801486479652,0.8776814885920534,1.4473252989791017,7.2059224939735484,125.0,0.06881259685505224,0.07848462120494878,0.00041420967894401084,0.014626326550711388,0.0362793673848576,0.08980595746835462,0.3532189295746474
lightgbm,Dataset_3772,125.0,0.9584496901769352,0.03217667590698614,0.8308161966423373,0.9442127527018348,0.9713235778273857,0.9805764443126456,0.995597606694628,125.0,0.738769512892299,0.4210673194669821,-2.573619412207232,0.7214595238025647,0.8855913793848645,0.9270748327794932,0.9914921247849142,125.0,1.1441658403763106,1.424676879007459,0.0218838065843481,0.0899964079251915,0.8374364458816942,1.0863025446486296,4.701371236661911,125.0,2.3136807183848846,3.121538117759617,0.0292006297555919,0.1427699396886208,1.6117396205647545,2.5097480045793654,12.338402933930634,125.0,0.04822752097874709,0.016246459552733412,0.0188228224233812,0.0343347502810377,0.0439606102466407,0.0599663608130228,0.0916738613504902,125.0,0.14389885410333533,0.08667444469181824,0.0358139921982695,0.0892983946450084,0.1146842933263101,0.1721141754136655,0.5875429968538397,125.0,0.8100850099217475,0.9792284172555956,0.0160586309182198,0.0648462840017975,0.6082256517402423,0.7834747421785524,3.126115024442609,125.0,1.748660843671951,2.3177098128764797,0.0240299531383698,0.0915549533037796,1.135021599787324,2.003187508587648,9.004360132052492,125.0,0.22493191900773332,0.4179275967233268,4.450276374912132e-05,0.04092211248027244,0.0912777446825842,0.21541861715007227,3.5517040455796405
xgboost,Dataset_0136,175.0,0.9883385053902735,0.015214417734754099,0.926595279869876,0.9882538527861229,0.9923534455041796,0.9985684156417847,0.9996401931890072,175.0,0.9076340331195455,0.15557868973298833,-0.2626876378344671,0.9034661880057262,0.9635182102532897,0.9885871708393098,0.998345317730165,175.0,0.6402616911188104,0.5256044669743769,0.0498648663532436,0.09615458446041875,0.56224632810989,0.8459620079862478,2.0326617175189403,175.0,1.6268228015239057,1.391798958815369,0.0466386265749571,0.24729565378740342,1.32315763714071,2.3859725752087417,6.205603244639572,175.0,0.023216889464319962,0.014879530564862117,0.0047925746003942,0.0093032761981931,0.0219662363912706,0.02747323323945385,0.0690942716421324,175.0,0.08119855532530318,0.060149314753667395,0.0143761304370517,0.03845859397778405,0.0656013423003108,0.09842808224129834,0.3507202208186541,175.0,0.5042366693254627,0.4057082347198601,0.0356942357688114,0.0796950643473658,0.4513227791621766,0.6883081793785095,1.5785979698444232,175.0,1.319428137088698,1.1122886008903163,0.0432051402500694,0.196901400225503,1.0612312589372903,2.0605373552867343,4.669914463588169,175.0,0.08083435178350615,0.14645943713568932,0.0002593136639392757,0.009067821308141766,0.028453885042340477,0.0826646360265138,1.198930079593744
xgboost,Dataset_0172,125.0,0.9776827540412923,0.02240447683864706,0.9133381460622884,0.9706452362369072,0.9877238064295646,0.9943562979589886,0.997182888110282,125.0,0.9188298604017752,0.09236692686583976,0.5585005355071982,0.8837194293886117,0.9607018120404788,0.9835490805248106,0.996409050093176,125.0,0.9406674569706113,1.1244362345899206,0.0604763342157288,0.0853652642816894,0.6827143503582546,0.8395710754684961,3.615840278082976,125.0,1.6988796421793289,2.137096122122818,0.0729294398110423,0.1453044027022065,1.0503744257949563,1.668653430086939,8.792350076959146,125.0,0.03052774947406821,0.014670186273326438,0.012797203110074,0.0183417334087826,0.0255148217635325,0.0400668201232844,0.0639583363345597,125.0,0.06966872717615068,0.039566196863834266,0.0217513602143379,0.0379454740997611,0.0569900477515979,0.0945845326714127,0.1999155541363592,125.0,0.6772013642172565,0.7822206536300527,0.0445527256151725,0.0635727435802591,0.4995073820415298,0.6338363563805296,2.5230904348273024,125.0,1.2313938397286548,1.5009962455107364,0.0556410215695699,0.1106995994022915,0.8279893057686942,1.215652858189174,6.554331970214844,125.0,0.059798137368453005,0.07807964674370457,0.000819480364040448,0.010539363326751316,0.025651839550934197,0.08153806603619551,0.38868625880325336
