dataset,target,model,random_search_best_rmse,random_search_best_params
Dataset_0136,Si Particle Size (um),linear_regression,0.27612076522330364,{}
Dataset_0136,Si Particle Size (um),ridge,0.27318303702862595,{'model__alpha': np.float64(1.1462107403425035)}
Dataset_0136,Si Particle Size (um),elasticnet,0.2747169873304525,"{'model__alpha': np.float64(0.01653693718282442), 'model__l1_ratio': np.float64(0.1379049026057455)}"
Dataset_0136,Si Particle Size (um),svr_rbf,0.26529012502621824,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_0136,Si Particle Size (um),gpr,0.259405691565195,"{'model__alpha': np.float64(0.05804965855340131), 'model__n_restarts_optimizer': 8}"
Dataset_0136,Si Particle Size (um),random_forest,0.26990567588026804,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_0136,Si Particle Size (um),extra_trees,0.28464505786608274,"{'model__max_depth': 4, 'model__max_features': np.float64(0.8627622080115674), 'model__min_samples_leaf': 1, 'model__n_estimators': 589}"
Dataset_0136,Si Particle Size (um),gradient_boosting,0.17250386677143198,"{'model__learning_rate': np.float64(0.11536162338241392), 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 291, 'model__subsample': np.float64(0.996884623716487)}"
Dataset_0136,Si Particle Size (um),xgboost,0.1677312483844775,"{'model__learning_rate': np.float64(0.031420647964844825), 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 640, 'model__reg_alpha': np.float64(0.008226074946221037), 'model__reg_lambda': np.float64(0.01701922302655402), 'model__subsample': np.float64(0.7159005811655073)}"
Dataset_0136,Si Particle Size (um),ann,0.264502371787393,"{'regressor__model__alpha': np.float64(0.7579479953348001), 'regressor__model__hidden_layer_sizes': (24,), 'regressor__model__learning_rate_init': np.float64(0.007535384509295544)}"
Dataset_0136,Si Particle Size (um),lightgbm,0.18243000144093263,"{'model__learning_rate': np.float64(0.08124173472387221), 'model__max_depth': 4, 'model__min_child_samples': 4, 'model__n_estimators': 492, 'model__num_leaves': 12, 'model__reg_alpha': np.float64(0.0012637946338082875), 'model__reg_lambda': np.float64(0.021070472806578238)}"
Dataset_0136,Hardness (HV),linear_regression,1.471748288658095,{}
Dataset_0136,Hardness (HV),ridge,1.4717621198077282,{'model__alpha': np.float64(0.001267425589893723)}
Dataset_0136,Hardness (HV),elasticnet,1.4719538052437895,"{'model__alpha': np.float64(0.0012087541473056963), 'model__l1_ratio': np.float64(0.922918866945795)}"
Dataset_0136,Hardness (HV),svr_rbf,1.6505387208417701,"{'model__C': np.float64(91.33995846860967), 'model__epsilon': np.float64(0.2073644517790503), 'model__gamma': np.float64(0.0062353771356731605)}"
Dataset_0136,Hardness (HV),gpr,1.458536075538079,"{'model__alpha': np.float64(1.1737996092661853e-05), 'model__n_restarts_optimizer': 3}"
Dataset_0136,Hardness (HV),random_forest,2.1004688139067023,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_0136,Hardness (HV),extra_trees,1.999748156928393,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0136,Hardness (HV),gradient_boosting,1.2031809301902647,"{'model__learning_rate': np.float64(0.024850390460806646), 'model__max_depth': 2, 'model__min_samples_leaf': 1, 'model__n_estimators': 445, 'model__subsample': np.float64(0.6390688456025535)}"
Dataset_0136,Hardness (HV),xgboost,1.0776984448028772,"{'model__learning_rate': np.float64(0.07665788170871725), 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 492, 'model__reg_alpha': np.float64(0.696067823913519), 'model__reg_lambda': np.float64(0.021511587551819603), 'model__subsample': np.float64(0.7757346007463081)}"
Dataset_0136,Hardness (HV),ann,1.3496944960018893,"{'regressor__model__alpha': np.float64(0.7579479953348001), 'regressor__model__hidden_layer_sizes': (24,), 'regressor__model__learning_rate_init': np.float64(0.007535384509295544)}"
Dataset_0136,Hardness (HV),lightgbm,0.9008781965468534,"{'model__learning_rate': np.float64(0.2554006816661351), 'model__max_depth': 3, 'model__min_child_samples': 4, 'model__n_estimators': 485, 'model__num_leaves': 5, 'model__reg_alpha': np.float64(0.015977662354833867), 'model__reg_lambda': np.float64(0.07153547794693157)}"
Dataset_0136,wear rate,linear_regression,0.32186260859887383,{}
Dataset_0136,wear rate,ridge,0.32158833582654656,{'model__alpha': np.float64(0.4205156450913872)}
Dataset_0136,wear rate,elasticnet,0.3218885009845819,"{'model__alpha': np.float64(0.002259279742015696), 'model__l1_ratio': np.float64(0.22638457617723068)}"
Dataset_0136,wear rate,svr_rbf,0.27840917743200777,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_0136,wear rate,gpr,0.2908316741935236,"{'model__alpha': np.float64(3.197999889429474e-05), 'model__n_restarts_optimizer': 6}"
Dataset_0136,wear rate,random_forest,0.2978227290422251,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_0136,wear rate,extra_trees,0.3263639326554967,"{'model__max_depth': 4, 'model__max_features': np.float64(0.8627622080115674), 'model__min_samples_leaf': 1, 'model__n_estimators': 589}"
Dataset_0136,wear rate,gradient_boosting,0.20909321132330277,"{'model__learning_rate': np.float64(0.24606760251270873), 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 256, 'model__subsample': np.float64(0.9208787923016158)}"
Dataset_0136,wear rate,xgboost,0.20020688810214454,"{'model__learning_rate': np.float64(0.06416866024982448), 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 646, 'model__reg_alpha': np.float64(0.0774211647399625), 'model__reg_lambda': np.float64(0.022844556850020535), 'model__subsample': np.float64(0.885297914889198)}"
Dataset_0136,wear rate,ann,0.32795179535162955,"{'regressor__model__alpha': np.float64(0.7579479953348001), 'regressor__model__hidden_layer_sizes': (24,), 'regressor__model__learning_rate_init': np.float64(0.007535384509295544)}"
