dataset,target,model,optuna_best_rmse,optuna_best_params,nested_cv_test_rmse_mean,nested_cv_test_rmse_std,nested_cv_test_r2_mean
Dataset_3772,Si Particle Size (um),xgboost,0.0428792632918822,"{'model__n_estimators': 245, 'model__learning_rate': 0.12466394164281565, 'model__max_depth': 2, 'model__reg_alpha': 0.001550296831338766, 'model__reg_lambda': 0.7318510516727158, 'model__subsample': 0.8338205639725949}",0.046764128998120255,0.01998227670802642,0.9232034374388445
Dataset_3772,Si Particle Size (um),lightgbm,0.05767421193193993,"{'model__n_estimators': 210, 'model__learning_rate': 0.26024818192925336, 'model__num_leaves': 3, 'model__min_child_samples': 3}",0.039476270653494294,0.01903374914140881,0.9406856375083255
Dataset_3772,Si Particle Size (um),gradient_boosting,0.04240967396132954,"{'model__n_estimators': 659, 'model__learning_rate': 0.29545938576470454, 'model__max_depth': 2, 'model__subsample': 0.7684354016217745}",0.06311836460744844,0.02594125997422925,0.8655803538515711
Dataset_3772,Hardness (HV),xgboost,1.526547384262085,"{'model__n_estimators': 307, 'model__learning_rate': 0.05343499759687212, 'model__max_depth': 2, 'model__reg_alpha': 0.1752137093784106, 'model__reg_lambda': 0.07068344446057967, 'model__subsample': 0.7978374598083081}",1.6404522553157435,0.8004080361241988,0.6941172242164612
Dataset_3772,Hardness (HV),lightgbm,1.6165913940524377,"{'model__n_estimators': 481, 'model__learning_rate': 0.09397381768311569, 'model__num_leaves': 3, 'model__min_child_samples': 6}",1.8092973406773514,0.7276370799975194,0.660244671094328
Dataset_3772,Hardness (HV),gradient_boosting,1.578043847679485,"{'model__n_estimators': 656, 'model__learning_rate': 0.2915605160577359, 'model__max_depth': 2, 'model__subsample': 0.8865973728386163}",1.9651453082176087,1.033671201117486,0.5912257341305234
Dataset_3772,wear rate,xgboost,0.14121346925216058,"{'model__n_estimators': 604, 'model__learning_rate': 0.08932343617177729, 'model__max_depth': 2, 'model__reg_alpha': 0.03679982750439514, 'model__reg_lambda': 0.6975863289271969, 'model__subsample': 0.888764421801138}",0.16181581312500387,0.048765837325202704,0.907311663904607
Dataset_3772,wear rate,lightgbm,0.16184620021553542,"{'model__n_estimators': 301, 'model__learning_rate': 0.1623676103503867, 'model__num_leaves': 6, 'model__min_child_samples': 3}",0.18574113947954116,0.04606946487007459,0.8996478433119204
Dataset_3772,wear rate,gradient_boosting,0.16229047726223392,"{'model__n_estimators': 549, 'model__learning_rate': 0.28998402863708794, 'model__max_depth': 1, 'model__subsample': 0.822412880778623}",0.16487868265210742,0.04458355717780543,0.9116372173198632
Dataset_3772,Ultimate Compression Strength (MPa),xgboost,7.2663307917195965,"{'model__n_estimators': 756, 'model__learning_rate': 0.03549167260455087, 'model__max_depth': 2, 'model__reg_alpha': 0.9182515705427349, 'model__reg_lambda': 3.464600433671379, 'model__subsample': 0.6472240021021622}",7.978710096204141,1.416654437557234,0.6324527149808464
Dataset_3772,Ultimate Compression Strength (MPa),lightgbm,7.003568157516116,"{'model__n_estimators': 739, 'model__learning_rate': 0.015069075569708884, 'model__num_leaves': 4, 'model__min_child_samples': 3}",7.87957365917976,2.0915115277109266,0.5875569992895695
Dataset_3772,Ultimate Compression Strength (MPa),gradient_boosting,6.482836996351064,"{'model__n_estimators': 117, 'model__learning_rate': 0.21044324740194192, 'model__max_depth': 3, 'model__subsample': 0.7910853383808674}",8.54221995602305,2.2608767333454,0.571782322734377
Dataset_3772,Elongation (%),xgboost,1.7489253497886175,"{'model__n_estimators': 667, 'model__learning_rate': 0.019415456653074637, 'model__max_depth': 3, 'model__reg_alpha': 0.004227473748182771, 'model__reg_lambda': 4.70165942824848, 'model__subsample': 0.9802239864043795}",2.566087791953126,0.43868191273847296,0.15408936052553185
Dataset_3772,Elongation (%),lightgbm,1.6666043727975068,"{'model__n_estimators': 800, 'model__learning_rate': 0.0064225757412223455, 'model__num_leaves': 7, 'model__min_child_samples': 2}",1.8135057673801995,0.9003854335114223,0.5462287491483075
Dataset_3772,Elongation (%),gradient_boosting,1.8964063430012428,"{'model__n_estimators': 596, 'model__learning_rate': 0.07060522521275832, 'model__max_depth': 3, 'model__subsample': 0.6972499419970398}",2.4502983171666957,0.30877448910825056,0.23091094375885665
